,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao joao da barra,-21.6403,-41.0511,75.34,84,15,6.64,BR,1649736243
1,thompson,55.7435,-97.8558,24.85,97,95,5.03,CA,1649736243
2,fairbanks,64.8378,-147.7164,39.54,54,28,2.59,US,1649736000
3,lujiang,31.2581,117.2817,84.0,43,74,12.73,CN,1649736244
4,ushuaia,-54.8,-68.3,35.24,89,46,6.85,AR,1649736171
5,arauca,7.0847,-70.7591,77.25,80,94,6.42,CO,1649736060
6,lompoc,34.6391,-120.4579,50.13,69,0,32.01,US,1649736133
7,rikitea,-23.1203,-134.9692,79.14,71,1,15.84,PF,1649736245
8,narsaq,60.9167,-46.05,37.62,50,47,12.97,GL,1649736245
9,vardo,70.3705,31.1107,34.3,81,96,14.5,NO,1649736246
10,irbeyskoye,55.6428,95.4522,30.7,76,100,6.64,RU,1649736246
11,avarua,-21.2078,-159.775,80.65,83,82,3.44,CK,1649736247
12,hilo,19.7297,-155.09,81.28,93,100,5.99,US,1649736247
13,upernavik,72.7868,-56.1549,13.48,95,100,8.95,GL,1649736248
14,port keats,-14.25,129.55,92.1,47,24,5.32,AU,1649736248
15,pingzhuang,42.0372,119.2889,51.51,17,17,13.98,CN,1649736249
16,kavaratti,10.5669,72.642,84.65,66,99,4.43,IN,1649736249
17,college,64.8569,-147.8028,39.52,54,31,2.62,US,1649736016
18,saint-philippe,-21.3585,55.7679,75.22,82,78,16.02,RE,1649736250
19,hobart,-42.8794,147.3294,64.26,57,75,14.97,AU,1649736250
20,ustyuzhna,58.8394,36.4321,33.93,97,100,4.83,RU,1649736251
21,tukrah,32.5341,20.5791,52.52,74,61,8.61,LY,1649736251
22,jamestown,42.097,-79.2353,53.24,73,100,8.05,US,1649736252
23,muros,42.7762,-9.0603,53.83,90,97,10.49,ES,1649736252
24,east london,-33.0153,27.9116,64.29,95,100,7.47,ZA,1649736083
25,mezen,65.8522,44.24,33.87,94,100,6.58,RU,1649736253
26,lixourion,38.2019,20.4314,51.35,65,2,3.04,GR,1649736254
27,butaritari,3.0707,172.7902,81.46,73,64,8.7,KI,1649736254
28,bonnyville,54.2668,-110.735,22.32,77,100,14.65,CA,1649735995
29,rocha,-34.4833,-54.3333,62.85,96,30,8.66,UY,1649736255
30,batemans bay,-35.7167,150.1833,66.09,61,90,4.94,AU,1649736255
31,mataura,-46.1927,168.8643,55.47,54,50,6.87,NZ,1649736256
32,torbay,47.6666,-52.7314,35.58,90,100,18.01,CA,1649736007
33,krasnoselkup,65.7,82.4667,33.62,100,100,8.3,RU,1649736256
34,albany,42.6001,-73.9662,53.73,61,96,4.56,US,1649736002
35,arraial do cabo,-22.9661,-42.0278,75.92,84,47,15.1,BR,1649736257
36,palana,59.1167,159.9667,17.73,85,100,14.14,RU,1649736257
37,tame,6.461,-71.73,75.63,80,87,4.38,CO,1649736258
38,port arthur,38.8,121.2667,50.92,44,100,24.09,CN,1649736258
39,lebu,-37.6167,-73.65,51.46,82,72,2.93,CL,1649736259
40,brody,50.0879,25.1503,31.24,92,13,6.11,UA,1649736260
41,bredasdorp,-34.5322,20.0403,63.68,70,1,2.86,ZA,1649736260
42,kapaa,22.0752,-159.319,80.58,84,75,12.66,US,1649736261
43,havoysund,70.9963,24.6622,32.23,84,100,20.18,NO,1649736261
44,chenzhou,25.8,113.0333,87.91,40,0,8.03,CN,1649736050
45,camana,-16.6228,-72.7111,66.72,82,92,7.07,PE,1649736262
46,saskylakh,71.9167,114.0833,1.72,88,97,2.26,RU,1649736262
47,tasiilaq,65.6145,-37.6368,15.96,83,100,4.29,GL,1649736263
